#lambda[A]	Flux[microJy]
6.564e+03	1.991e-03
6.564e+03	1.780e-03
6.564e+03	1.575e-03
6.564e+03	1.379e-03
6.564e+03	1.196e-03
6.564e+03	1.026e-03
6.564e+03	8.714e-04
6.565e+03	7.327e-04
6.565e+03	6.097e-04
6.565e+03	5.023e-04
6.565e+03	4.096e-04
6.565e+03	3.306e-04
6.565e+03	2.641e-04
6.565e+03	2.089e-04
6.565e+03	1.635e-04
6.565e+03	1.267e-04
6.565e+03	9.717e-05
6.565e+03	7.377e-05
6.565e+03	5.544e-05
6.565e+03	4.124e-05
6.565e+03	3.037e-05
6.565e+03	2.213e-05
6.566e+03	1.597e-05
6.566e+03	1.140e-05
6.566e+03	8.060e-06
6.566e+03	5.640e-06
6.566e+03	3.906e-06
6.566e+03	2.678e-06
6.566e+03	1.817e-06
6.566e+03	1.221e-06
6.566e+03	8.116e-07
6.566e+03	5.342e-07
